name,brand,category,price,region,tags,rating,stock,description,image_url,mode
Wildcraft Graphic Backpack 45L,Wildcraft,Backpack,2599,India,"travel,backpack,hiking",4.4,30,"45L durable Indian-made backpack for travel and trekking.","https://assets.myntassets.com/w_412%2Cq_30%2Cdpr_3%2Cfl_progressive%2Cf_webp/assets/images/7770871/2018/12/6/d4f64c83-6d3f-4dff-bbd2-b231024963491544093810915-Wildcraft-Unisex-Blue-Graphic-Backpack-4661544093809598-1.jpg",travel
Travel Neck Pillow,Peps,Neck Pillow,699,India,"travel,comfort,pillow",4.1,40,"Soft ergonomic neck pillow designed for long travel hours.","https://pepsindia.b-cdn.net/wp-content/uploads/2025/03/Travel-Neck-Pillow-2.jpg",travel
Portable Hand Sanitizer,,Travel Accessory,99,India,"travel,hygiene",4.2,120,"Compact sanitizer bottle for hygiene while travelling.","https://m.media-amazon.com/images/I/41EVBDIoyuL._SL160_.jpg",travel
AdventureWorx Toiletry Kit,AdventureWorx,Toiletry Kit,499,India,"travel,toiletry,organizer",4.0,50,"Compact toiletry kit with multiple compartments.","https://adventureworx.in/wp-content/uploads/2024/02/go-x-reg-toiletry-kit-600x799.jpg",travel
Passport Holder Wallet,,Travel Accessory,349,India,"travel,wallet,organizer",4.3,60,"Slim passport holder for secure travel document storage.","https://5.imimg.com/data5/SELLER/Default/2025/3/494289796/DY/ZG/WI/240365706/51szhexwqpl-sl1500-500x500.jpg",travel
Travel Mini First Aid Kit,,Travel Kit,299,India,"travel,firstaid,health",4.5,20,"Compact first aid kit for safe travelling.","https://sp.yimg.com/ib/th?id=OPAC.tNx7Ajam2C9eMA474C474&o=5&pid=21.1&w=174&h=174",travel
Onion Shampoo,Mamaearth,Haircare,349,India,"hairfall, strengthening, shampoo",4.4,In Stock,"Reduces hair fall and strengthens roots for smoother, healthier hair.","https://images.mamaearth.in/catalog/product/1/_/1_197.jpg?format=auto&width=400&height=400",glowup
Rosemary Hair Oil,Mamaearth,Haircare,399,India,"hair growth, rosemary, nourishment",4.5,In Stock,"Boosts scalp circulation and supports natural hair growth.","https://images.mamaearth.in/catalog/product/r/o/rosemary_oil.jpg?format=auto&height=600",glowup 
Ubtan Face Wash,Mamaearth,Skincare,299,India,"brightening, tan removal, daily wash",4.3,In Stock,"Brightens skin tone and removes tan with turmeric and saffron.","https://images.mamaearth.in/catalog/product/1/_/1_69.jpg?format=auto&width=400&height=400",glowup
Vitamin C Serum,Mamaearth,Skincare,599,India,"glow, vitamin c, dark spots",4.4,In Stock,"Boosts glow, fades pigmentation and evens out skin tone.","https://images.mamaearth.in/catalog/product/1/_/1_119.jpg?format=auto&height=600",glowup
Nourishing Body Lotion,RAS Luxury,Bodycare,745,India,"body lotion, hydration, luxury",4.5,In Stock,"Deeply moisturizes skin with natural botanicals for all-day softness.","https://images-static.nykaa.com/media/catalog/product/e/3/e36770cRASLU00000242d_0.jpg",glowup
SkinRX Lightweight Moisturizer,Nykaa,Skincare,349,India,"hydrating, lightweight, daily cream",4.4,In Stock,"Lightweight moisturizer suitable for all skin types and daily use.","https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/3/4/34f8996NYKEYM0000043_1.jpg",glowup
SkinRX Lightweight Moisturizer HD,Nykaa,Skincare,349,India,"hydrating, moisturizer, skinrx",4.4,In Stock,"HD version image — deeply hydrates and keeps skin smooth.","https://images-static.nykaa.com/media/catalog/product/tr:h-800,w-800,cm-pad_resize/3/4/34f8996NYKEYM0000043_1.jpg",glowup
Hair Repair Mask,Earth Rhythm,Haircare,599,India,"repair, damage control, hair mask",4.5,In Stock,"Repairs damaged hair and reduces frizz with natural ingredients.","https://images-static.nykaa.com/media/catalog/product/tr:h-800,w-800,cm-pad_resize/3/4/34f8996EARAA00000381_1.jpg",glowup
Charcoal Face Mask,Mamaearth,Skincare,499,India,"detox, charcoal, pore care",4.2,In Stock,"Detoxifies skin and clears pores for a refreshed look.","https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/b/4/b46b2d68901030707858_1.jpg",glowup
SPF 50 Sunscreen,Nykd by Nykaa,Skincare,449,India,"sunscreen, spf50, uv protection",4.6,In Stock,"Protects skin from harmful UV rays with lightweight formula.","https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/1/1/1185643NYKMCF0000002_01.jpg",glowup
Herbal Essences Conditioner,Herbal Essences,Haircare,299,India,"conditioner, smoothing, frizz control",4.3,In Stock,"Smoothens and softens hair while reducing frizz.","https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/a/b/abafe9fHH_89011385081592.jpg",glowup
Papaya Face Scrub,Biotique,Skincare,199,India,"scrub, exfoliating, brightening",4.2,In Stock,"Exfoliates dead skin and brightens complexion with papaya extracts.","https://images-static.nykaa.com/media/catalog/product/tr:w-220,h-220,cm-pad_resize/0/2/02c28898901138844172_1.jpg",glowup
Motivational Study Poster - Keep Going,Inkarto,Poster,249,India,"study,motivation,wall-decor",4.6,120,"High-quality matte poster designed to spark motivation during study hours.","https://inkarto.com/cdn/shop/files/WhatsAppImage2024-06-27at5.07.00PM.jpg?v=1760938175&width=535",study
Artist Sketchbook Spiral A4,Himalaya Fine Art,Notebook,199,India,"notes,sketching,study",4.5,200,"A4 spiral-bound sketchbook suitable for diagrams and creative study layouts.","https://www.himalayafineart.com/cdn/shop/files/A00019603_540x.jpg?v=1752147175",study
Brown Leather Study Desk Organizer,Generic,Desk Organizer,450,India,"desk-setup,study,productivity",4.4,80,"Premium desk organizer to keep pens and accessories neatly arranged.","https://5.imimg.com/data5/SELLER/Default/2021/11/AX/AI/WP/52348859/2-500x500.jpeg",study
Anime Motivation Poster - Rock Lee,One O'Clock,Poster,299,India,"anime,motivation,study",4.7,150,"Inspiring Rock Lee poster perfect for anime-loving students.","https://oneoclock.in/cdn/shop/files/Rock_lee.png?v=1750240425&width=360",study
Minimal Study Desk Mat - Grey,One O'Clock,Desk Mat,599,India,"minimal,study-setup,workspace",4.5,90,"Large premium desk mat for a clean and comfortable study workspace.","https://oneoclock.in/cdn/shop/files/mockup-1_af123682-2127-4867-9cd7-93612d4ff8ad.png?v=1754635139&width=360",study
Blue Quiet-Click Wireless Mouse,Turron,Electronics,899,India,"tech,wireless,silent-click",4.6,110,"Ultra-silent wireless mouse ideal for library or late-night study.","https://www.turron.in/cdn/shop/products/81xxTsQm1LL._SL1500.jpg?v=1676626517&width=360",study
Apsara Fro Pencils - Pack of 10,Apsara,Stationery,70,India,"pencils,writing,study",4.4,500,"Smooth-writing pencils with break-resistant lead.","https://statmo.in/wp-content/uploads/2025/05/Apsara-FroPencils-Pack-of-10-min.jpg",study
Deli Desktop Pen Holder,Deli,Desk Organizer,350,India,"desk,organizer,study",4.5,130,"Multi-section pen holder to keep your study table tidy.","https://scooboo.in/cdn/shop/products/deli-w9154-versatile-pen-holder-desktop-organiser-scooboo-811596.jpg?v=1689425070&width=355",study
LED Study Lamp - Adjustable,Smiledrive,Lamp,1199,India,"lighting,study,focus",4.6,70,"Flexible LED lamp offering bright and focused desk lighting.","https://smiledrive.in/cdn/shop/files/617o36BFixL._SL1500.jpg?v=1696062397&width=360",study
Hunter Green 1L Water Bottle,Solara,Accessories,499,India,"gym,water bottle,hydration",4.3,200,"Durable 1 L steel water bottle ideal for gym sessions and workouts.",https://www.solara.in/cdn/shop/files/Hunter_Green_1L_1.png?v=1761375029&width=1080 ,gym
Body Pump Adjustable Dumbbell Set,OneClearWinner,Fitness Equipment,1999,India,"gym,weights,adjustable dumbbell",4.4,50,"Adjustable dumbbell set for home workouts covering multiple weight levels.",https://reviews.oneclearwinner.com/_next/image/?url=https%3A%2F%2Fm.media-amazon.com%2Fimages%2FI%2F41hQtfhfTTL._SL160_.jpg&w=384&q=75 ,gym
Workout Resistance Band Set,Generic,Accessories,699,India,"gym,resistance band,training",4.2,150,"Set of resistance bands for strength training, stretching and flexibility.",https://m.media-amazon.com/images/I/51RvLI06QWL._AC_UL480_FMwebp_QL65_.jpg ,gym
Boldfit Yoga & Workout Mat,Boldfit,Accessories,799,India,"gym,yoga mat,workout",4.5,120,"Non-slip workout mat suitable for yoga, stretching, and floor exercises.",https://www.boldfit.com/cdn/shop/files/Artboard_2_7dbb534e-d1ed-4cb1-b2e2-64439018e1ed.jpg?v=1758961342&width=1440 ,gym
Bulmarc Whey Protein 1kg,Bulmarc,Supplements,1499,India,"gym,protein,fitness",4.4,100,"High-protein whey supplement for muscle recovery post-gym.",https://bulmarc.com/cdn/shop/files/Cover.png?v=1760426224&width=600 ,gym
Adjustable Tripod Bottle Holder,Generic,Accessories,299,India,"gym,accessory,hydration",4.1,180,"Portable bottle holder ideal for gym bags or outdoor workouts.",https://m.media-amazon.com/images/I/716GY+VZgDL._AC_UL480_FMwebp_QL65_.jpg ,gym
Dr Trust Foam Roller,Dr Trust,Accessories,699,India,"gym,foam roller,recovery",4.3,90,"Grid foam roller for muscle recovery, pre-workout warm-up and post-workout stretch.",https://drtrust.in/cdn/shop/files/dr-trust-usa-exercise-roller-grid-foam-roller-exerciser-rumble-roller-1194967470.jpg?v=1758980687&width=800 ,gym
SoulFlex Compact Jump Rope,SoulFlex,Accessories,399,India,"gym,cardio,jumprope",4.0,200,"Compact, adjustable skip rope for cardio warm-ups and home workouts.",https://www.soulflex.in/cdn/shop/files/Double_Sided_Creatives_7_2.jpg?v=1754400695&width=990 ,gym
